Question_Text,Subject_Domain,Topic_Subdomain,Bloom_Taxonomy,Historical_Pass_Rate,Difficulty_Level
Hypothesize Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,45.6,Medium
Identify AI in simple terms?,Computer Science,AI,Remember,100.0,Easy
Synthesize Networking under extreme constraints.,Computer Science,Networking,Evaluate,28.2,Hard
Critically analyze Algorithms under extreme constraints.,Computer Science,Algorithms,Evaluate,16.0,Hard
Critically analyze Mechanics under extreme constraints.,Physics,Mechanics,Evaluate,26.6,Hard
Outline Probability in a standard system.,Mathematics,Probability,Apply,70.9,Medium
Hypothesize Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,44.9,Hard
Describe Quantum Physics diagrammatically.,Physics,Quantum Physics,Apply,65.9,Medium
Hypothesize Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,17.4,Hard
Name Data Structures briefly?,Computer Science,Data Structures,Remember,95.2,Easy
Which of these is Thermodynamics briefly?,Physics,Thermodynamics,Remember,82.6,Easy
Evaluate the limitations of Geometry under extreme constraints.,Mathematics,Geometry,Evaluate,31.8,Hard
Identify Networking according to basic principles?,Computer Science,Networking,Remember,80.8,Easy
State Statistics in simple terms?,Mathematics,Statistics,Remember,100.0,Easy
State Geometry as defined in the textbook?,Mathematics,Geometry,Remember,94.7,Easy
State Networking as defined in the textbook?,Computer Science,Networking,Remember,78.9,Easy
Define Geometry according to basic principles?,Mathematics,Geometry,Remember,72.5,Medium
Define Data Structures,Computer Science,Data Structures,Remember,78.9,Easy
Synthesize Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,16.7,Hard
Identify Geometry,Mathematics,Geometry,Remember,92.6,Easy
Differentiate between Database using an example.,Computer Science,Database,Apply,52.8,Medium
Name Algorithms in simple terms?,Computer Science,Algorithms,Remember,72.3,Medium
List Relativity in simple terms?,Physics,Relativity,Remember,100.0,Easy
Define AI as defined in the textbook?,Computer Science,AI,Remember,87.4,Easy
Name Mechanics according to basic principles?,Physics,Mechanics,Remember,93.8,Easy
State Optics as defined in the textbook?,Physics,Optics,Remember,80.8,Easy
Derive the formula for Geometry considering edge cases.,Mathematics,Geometry,Evaluate,39.3,Hard
Synthesize Database under extreme constraints.,Computer Science,Database,Evaluate,34.4,Hard
Identify Algorithms,Computer Science,Algorithms,Remember,83.7,Easy
Describe Optics using an example.,Physics,Optics,Apply,61.7,Medium
Outline Statistics in a standard system.,Mathematics,Statistics,Apply,71.3,Medium
Calculate Optics diagrammatically.,Physics,Optics,Apply,75.2,Easy
Synthesize Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,43.4,Hard
Calculate Geometry for a specific case.,Mathematics,Geometry,Apply,55.0,Medium
Synthesize Linear Algebra in distributed latency environments.,Mathematics,Linear Algebra,Evaluate,71.3,Medium
,Physics,Optics,Apply,71.0,Medium
Derive the formula for Geometry under extreme constraints.,Mathematics,Geometry,Evaluate,55.8,Medium
Derive the formula for Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,31.7,Hard
Outline Geometry for a specific case.,Mathematics,Geometry,Apply,84.0,Easy
Name Networking in simple terms?,Computer Science,Networking,Remember,100.0,Easy
Outline Database for a specific case.,Computer Science,Database,Apply,63.5,Medium
Calculate Optics in a standard system.,Physics,Optics,Apply,68.2,Medium
Name Probability in simple terms?,Mathematics,Probability,Remember,82.6,Easy
Define Algorithms,Computer Science,Algorithms,Remember,83.3,Easy
Explain how AI in a standard system.,Computer Science,AI,Apply,61.1,Medium
Describe Thermodynamics in a standard system.,Physics,Thermodynamics,Apply,51.5,Medium
Derive the formula for Statistics considering edge cases.,Mathematics,Statistics,Evaluate,36.1,Hard
What is Mechanics in simple terms?,Physics,Mechanics,Remember,83.4,Easy
Compare Geometry using an example.,Mathematics,Geometry,Apply,48.8,Medium
Outline AI in practice.,Computer Science,AI,Apply,65.1,Medium
What is Mechanics as defined in the textbook?,Physics,Mechanics,Remember,90.9,Easy
Evaluate the limitations of Algorithms assuming failure modes.,Computer Science,Algorithms,Evaluate,41.9,Hard
Illustrate AI in practice.,Computer Science,AI,Apply,66.7,Medium
Derive the formula for Geometry under extreme constraints.,Mathematics,Geometry,Evaluate,14.4,Hard
Evaluate the limitations of AI in distributed latency environments.,Computer Science,AI,Evaluate,21.4,Hard
Differentiate between Geometry diagrammatically.,Mathematics,Geometry,Apply,51.7,Medium
Compare Statistics in practice.,Mathematics,Statistics,Apply,55.0,Medium
Illustrate Calculus diagrammatically.,Mathematics,Calculus,Apply,67.4,Medium
Calculate Quantum Physics diagrammatically.,Physics,Quantum Physics,Apply,63.7,Medium
What is Thermodynamics as defined in the textbook?,Physics,Thermodynamics,Remember,89.0,Easy
Name Data Structures briefly?,Computer Science,Data Structures,Remember,79.3,Easy
Name Linear Algebra,Mathematics,Linear Algebra,Remember,90.1,Easy
Differentiate between Optics for a specific case.,Physics,Optics,Apply,69.5,Medium
Compare Linear Algebra for a specific case.,Mathematics,Linear Algebra,Apply,54.5,Medium
Outline Data Structures in a standard system.,Computer Science,Data Structures,Apply,60.3,Medium
Synthesize Optics under extreme constraints.,Physics,Optics,Evaluate,24.8,Hard
Outline Data Structures diagrammatically.,Computer Science,Data Structures,Apply,90.8,Easy
Propose a solution for Probability under extreme constraints.,Mathematics,Probability,Evaluate,42.3,Hard
Synthesize Geometry assuming failure modes.,Mathematics,Geometry,Evaluate,31.4,Hard
Evaluate the limitations of Relativity with mathematical proofs.,Physics,Relativity,Evaluate,44.1,Hard
Identify Networking,Computer Science,Networking,Remember,84.9,Easy
Derive the formula for Probability assuming failure modes.,Mathematics,Probability,Evaluate,29.6,Hard
Evaluate the limitations of Linear Algebra considering edge cases.,Mathematics,Linear Algebra,Evaluate,35.9,Hard
Critically analyze AI in distributed latency environments.,Computer Science,AI,Evaluate,24.6,Hard
Critically analyze Thermodynamics under extreme constraints.,Physics,Thermodynamics,Evaluate,46.4,Medium
Synthesize Quantum Physics with mathematical proofs.,Physics,Quantum Physics,Evaluate,31.7,Hard
State Database according to basic principles?,Computer Science,Database,Remember,91.1,Easy
Calculate Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,65.6,Medium
Name Optics,Physics,Optics,Remember,93.4,Easy
Propose a solution for Probability assuming failure modes.,Mathematics,Probability,Evaluate,33.1,Hard
List Geometry in simple terms?,Mathematics,Geometry,Remember,88.0,Easy
Illustrate Relativity in practice.,Physics,Relativity,Apply,51.6,Medium
Evaluate the limitations of Statistics assuming failure modes.,Mathematics,Statistics,Evaluate,42.2,Hard
Evaluate the limitations of Linear Algebra assuming failure modes.,Mathematics,Linear Algebra,Evaluate,42.1,Hard
Critically analyze Statistics considering edge cases.,Mathematics,Statistics,Evaluate,41.5,Hard
Propose a solution for Database assuming failure modes.,Computer Science,Database,Evaluate,59.3,Medium
Propose a solution for Relativity with mathematical proofs.,Physics,Relativity,Evaluate,28.0,Hard
Explain how Algorithms using an example.,Computer Science,Algorithms,Apply,64.3,Medium
Propose a solution for Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,33.2,Hard
Describe AI in practice.,Computer Science,AI,Apply,63.4,Medium
Outline Database diagrammatically.,Computer Science,Database,Apply,44.4,Hard
State Linear Algebra briefly?,Mathematics,Linear Algebra,Remember,98.6,Easy
Critically analyze Thermodynamics under extreme constraints.,Physics,Thermodynamics,Evaluate,26.4,Hard
Name Optics as defined in the textbook?,Physics,Optics,Remember,92.4,Easy
Calculate Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,89.9,Easy
Illustrate Linear Algebra in practice.,Mathematics,Linear Algebra,Apply,50.6,Medium
Critically analyze Geometry in distributed latency environments.,Mathematics,Geometry,Evaluate,23.6,Hard
Synthesize Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,40.9,Hard
Name Geometry briefly?,Mathematics,Geometry,Remember,84.8,Easy
Synthesize Quantum Physics in distributed latency environments.,Physics,Quantum Physics,Evaluate,46.3,Medium
Which of these is AI briefly?,Computer Science,AI,Remember,96.8,Easy
Evaluate the limitations of Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,30.9,Hard
Derive the formula for Linear Algebra with mathematical proofs.,Mathematics,Linear Algebra,Evaluate,40.7,Hard
Define Quantum Physics according to basic principles?,Physics,Quantum Physics,Remember,68.9,Medium
Propose a solution for Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,33.0,Hard
Evaluate the limitations of Probability in distributed latency environments.,Mathematics,Probability,Evaluate,18.8,Hard
Critically analyze Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,35.1,Hard
Identify Statistics as defined in the textbook?,Mathematics,Statistics,Remember,83.0,Easy
Derive the formula for Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,26.4,Hard
List Algorithms in simple terms?,Computer Science,Algorithms,Remember,87.7,Easy
Hypothesize Thermodynamics considering edge cases.,Physics,Thermodynamics,Evaluate,54.6,Medium
Illustrate Geometry in a standard system.,Mathematics,Geometry,Apply,53.5,Medium
Identify Networking according to basic principles?,Computer Science,Networking,Remember,80.8,Easy
Illustrate Algorithms for a specific case.,Computer Science,Algorithms,Apply,64.1,Medium
Calculate Mechanics using an example.,Physics,Mechanics,Apply,57.8,Medium
Critically analyze Networking under extreme constraints.,Computer Science,Networking,Evaluate,14.9,Hard
Hypothesize Database in distributed latency environments.,Computer Science,Database,Evaluate,11.5,Hard
Hypothesize Relativity with mathematical proofs.,Physics,Relativity,Evaluate,24.1,Hard
Identify Probability,Mathematics,Probability,Remember,73.6,Medium
Identify Networking according to basic principles?,Computer Science,Networking,Remember,67.0,Medium
What is Quantum Physics in simple terms?,Physics,Quantum Physics,Remember,83.8,Easy
Illustrate Geometry in practice.,Mathematics,Geometry,Apply,85.7,Easy
Calculate Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,64.9,Medium
Identify Statistics briefly?,Mathematics,Statistics,Remember,74.9,Medium
Differentiate between Probability for a specific case.,Mathematics,Probability,Apply,68.9,Medium
List Calculus in simple terms?,Mathematics,Calculus,Remember,84.4,Easy
Describe Mechanics using an example.,Physics,Mechanics,Apply,64.1,Medium
List Linear Algebra briefly?,Mathematics,Linear Algebra,Remember,80.5,Easy
Define Statistics as defined in the textbook?,Mathematics,Statistics,Remember,93.0,Easy
Illustrate AI using an example.,Computer Science,AI,Apply,64.9,Medium
Propose a solution for Database in distributed latency environments.,Computer Science,Database,Evaluate,32.3,Hard
Derive the formula for Quantum Physics under extreme constraints.,Physics,Quantum Physics,Evaluate,52.5,Medium
Explain how Database in a standard system.,Computer Science,Database,Apply,63.9,Medium
Explain how AI in a standard system.,Computer Science,AI,Apply,58.7,Medium
State AI,Computer Science,AI,Remember,85.9,Easy
Critically analyze Optics under extreme constraints.,Physics,Optics,Evaluate,55.0,Medium
Define Database as defined in the textbook?,Computer Science,Database,Remember,89.9,Easy
Illustrate Data Structures in a standard system.,Computer Science,Data Structures,Apply,65.7,Medium
Propose a solution for Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,40.3,Hard
Which of these is Networking according to basic principles?,Computer Science,Networking,Remember,83.8,Easy
Differentiate between Optics diagrammatically.,Physics,Optics,Apply,58.8,Medium
Synthesize Relativity under extreme constraints.,Physics,Relativity,Evaluate,42.0,Hard
Differentiate between Thermodynamics in practice.,Physics,Thermodynamics,Apply,41.6,Hard
Synthesize Relativity with mathematical proofs.,Physics,Relativity,Evaluate,38.3,Hard
Calculate Data Structures diagrammatically.,Computer Science,Data Structures,Apply,68.7,Medium
Name Linear Algebra briefly?,Mathematics,Linear Algebra,Remember,86.4,Easy
Which of these is Data Structures as defined in the textbook?,Computer Science,Data Structures,Remember,95.8,Easy
Differentiate between Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,66.9,Medium
Hypothesize Probability assuming failure modes.,Mathematics,Probability,Evaluate,48.1,Medium
Derive the formula for AI under extreme constraints.,Computer Science,AI,Evaluate,29.6,Hard
Compare Calculus diagrammatically.,Mathematics,Calculus,Apply,63.2,Medium
Outline Statistics in practice.,Mathematics,Statistics,Apply,67.6,Medium
Derive the formula for Quantum Physics assuming failure modes.,Physics,Quantum Physics,Evaluate,25.0,Hard
Describe Quantum Physics diagrammatically.,Physics,Quantum Physics,Apply,68.2,Medium
Derive the formula for Algorithms under extreme constraints.,Computer Science,Algorithms,Evaluate,45.0,Hard
Describe Networking in practice.,Computer Science,Networking,Apply,49.9,Medium
Differentiate between Data Structures for a specific case.,Computer Science,Data Structures,Apply,58.0,Medium
Outline Probability in practice.,Mathematics,Probability,Apply,81.4,Easy
Evaluate the limitations of Quantum Physics under extreme constraints.,Physics,Quantum Physics,Evaluate,18.4,Hard
What is Geometry as defined in the textbook?,Mathematics,Geometry,Remember,82.7,Easy
Propose a solution for Data Structures under extreme constraints.,Computer Science,Data Structures,Evaluate,33.8,Hard
Derive the formula for Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,58.2,Medium
